IFAC Technical Area,Subject Area,Keyword
,,
1. Systems and Signals,"1.1 Modelling, Identification and Signal Processing",automatic methods
 , ,experiment design
 , ,fault detection
 , ,identification methods
 , ,linear/nonlinear models
 , ,measures of model fit
 , ,model fitting
 , ,model selection
 , ,robust estimation
 , ,system model validation
 , ,tracking and adaptation
 ,1.2 Adaptive and Learning Systems,adaptive systems
 , ,autotuning
 , ,fault detection and isolation
 , ,gain scheduling
 , ,iterative schemes
 , ,linear parameterically varying (LPV) methodologies
 , ,switching controllers
 ,1.3 Discrete Event and Hybrid Systems,command-control systems
 , ,computer networks
 , ,embedded system
 , ,manufacturing systems
 , ,supply chains
 , ,transportation systems
 ,1.4 Stochastic Systems,estimation theory
 , ,learning theory
 , ,randomized methods
 , ,realization theory
 , ,simulation of dynamic systems
 , ,statistical analysis
 , ,stochastic control
 , ,synthesis of stochastic systems
 , ,system identification
 ,1.5 Networked Systems,Collaborative systems
 , ,Complex system management
 , ,Control of networks
 , ,Heterogeneous wireless networks
 , ,Information systems & infrastructure
 , ,Multi-agent systems
 , ,Network security
 , ,Network-based computing systems
 , ,Networked control systems
 , ,Sensor networks
 , ,Space-based networking
 , ,Wireless communications
2. Design Methods,2.1 Control Design,adaptive control
 , ,analytic design
 , ,controller constraints and structure
 , ,data-based control
 , ,decentralization
 , ,digital implementation
 , ,fault-tolerant
 , ,model validation in design methods
 , ,parametric optimization
 , ,supervision and testing
 ,2.2 Linear Control Systems,complex systems
 , ,descriptor systems
 , ,fractional systems
 , ,infinite-dimensional systems
 , ,n-dimensional systems
 , ,positive systems
 , ,systems with time-delays
 , ,time-invariant
 , ,time-varying systems
 ,2.3 Non-Linear Control Systems,application of nonlinear analysis and design
 , ,asymptotic stabilization
 , ,control of constrained systems
 , ,disturbance rejection
 , ,nonlinear observer and filter design
 , ,output feedback control
 , ,regulation
 , ,robust control of nonlinear systems
 , ,tracking
 ,2.4 Optimal Control,algorithms and software
 , ,industrial applications of optimal control
 , ,large scale optimization problems and methods
 , ,modeling for control optimization
 , ,non-smooth and discontinuous problems
 , ,optimization under uncertainties
 , ,singularities in optimization
 , ,static optimization problems
